City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
291,Harper,LR,83.41,light rain,4.375,-7.7169,Screensaver
293,Bathsheba,BB,82.4,broken clouds,13.2167,-59.5167,Atlantis Hotel
302,Faanui,PF,80.87,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
303,Mercedes,AR,84.0,clear sky,-34.6515,-59.4307,Posada del Inti Centro
306,Micheweni,TZ,81.37,clear sky,-4.9667,39.8333,
314,Labuhan,ID,79.14,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
315,Kavaratti,IN,81.46,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
319,Bengkulu,ID,77.56,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
323,Mweka,CD,84.79,overcast clouds,-4.85,21.5667,
326,Emerald,AU,77.0,scattered clouds,-23.5333,148.1667,The Irish Village
336,Meulaboh,ID,79.05,broken clouds,4.1363,96.1285,Kost Pria
337,Inhambane,MZ,78.01,broken clouds,-23.865,35.3833,Oceano
339,Vao,NC,78.22,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
341,Angoche,MZ,83.3,overcast clouds,-16.2325,39.9086,Guest House HESADA
347,Chimore,BO,89.74,broken clouds,-16.9833,-65.1333,Bichito
348,Alofi,NU,77.0,light rain,-19.0595,-169.9187,Taloa Heights
350,Mocuba,MZ,82.6,broken clouds,-16.8392,36.9856,Phama Lodge
352,Mlonggo,ID,78.87,overcast clouds,-6.5333,110.7,Asia Metal Art
356,San Cristobal,VE,86.0,scattered clouds,7.7669,-72.225,Pirineos
357,Quatre Cocos,MU,80.6,light rain,-20.2078,57.7625,Emeraude Beach Attitude Hotel
365,El Tocuyo,VE,75.2,scattered clouds,9.7873,-69.7937,HOTEL BOUTIQUE SANTO DOMINGO
367,Santiago,CL,75.0,haze,-33.4569,-70.6483,Sheraton Santiago Hotel and Convention Center
370,Lima,PE,75.2,clear sky,-12.0432,-77.0282,Gran Hotel Bolivar Lima
373,Mareeba,AU,78.8,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
374,Ambanja,MG,78.24,moderate rain,-13.6833,48.45,Hotel Salama and Fast Food
375,Tutoia,BR,89.6,few clouds,-2.7619,-42.2744,Pousada Guará's
379,Takoradi,GH,83.91,light rain,4.8845,-1.7554,Raybow International Hotel
382,Salalah,OM,75.2,scattered clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
389,Bonthe,SL,87.22,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
390,Vanimo,PG,79.45,very heavy rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
392,Resende,BR,81.59,broken clouds,-22.4689,-44.4467,Espigão Palace Hotel
393,Birao,CF,88.75,few clouds,10.2849,22.7882,
398,Hambantota,LK,78.8,scattered clouds,6.1241,81.1185,Bungalow 63
399,Tual,ID,83.73,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
400,Roebourne,AU,80.83,clear sky,-20.7833,117.1333,Harding River Caravan Park
406,Bambanglipuro,ID,77.72,overcast clouds,-7.95,110.2833,Puri Brata
408,Buala,SB,80.11,light rain,-8.145,159.5921,Maringe Lagoon Lodge
413,Nkhata Bay,MW,78.84,scattered clouds,-11.6066,34.2907,Mayoka Village
415,Mersing,MY,78.8,broken clouds,2.4312,103.8405,Timotel Hotel
417,Sabang,ID,80.96,clear sky,5.8933,95.3214,Hotel Citra
420,Arraial Do Cabo,BR,84.2,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
421,Luanda,AO,86.0,few clouds,-8.8368,13.2343,EPIC SANA Luanda
425,Amarante Do Maranhao,BR,83.32,broken clouds,-5.5667,-46.7422,Hotéis Caçulinha
428,Aguililla,MX,77.29,clear sky,18.7333,-102.7333,
431,Inongo,CD,83.93,scattered clouds,-1.95,18.2667,Hotel Du Lac
433,Touros,BR,87.8,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
434,Samarai,PG,81.37,clear sky,-10.6167,150.6667,Nuli Sapi
436,Najran,SA,80.6,clear sky,17.4924,44.1277,محمد هادي ال فطيح
439,Boyolangu,ID,75.51,overcast clouds,-8.1181,111.8935,Yos ega cv
442,Progreso,MX,80.01,clear sky,21.2833,-89.6667,Playa Linda Hotel
443,Luganville,VU,77.77,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
446,Kota Belud,MY,77.0,scattered clouds,6.351,116.4305,Tang Dynasty Lodge Kota Belud
450,Cabedelo,BR,87.8,few clouds,-6.9811,-34.8339,Hotel Pigalle
454,Ambilobe,MG,77.14,moderate rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
462,Jacareacanga,BR,85.69,broken clouds,-6.2222,-57.7528,Casa do Ian😎
465,Escarcega,MX,77.9,clear sky,18.6089,-90.7454,Hotel Maria Isabel
471,Canguaretama,BR,87.8,scattered clouds,-6.38,-35.1289,Pousada do Italiano
473,Homestead,US,75.99,scattered clouds,25.4687,-80.4776,Travelodge by Wyndham Florida City/Homestead/Everglades
475,Lucea,JM,82.4,few clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
480,Nyanza,RW,77.0,light rain,-2.3519,29.7509,New Life Motel
481,Poum,NC,79.27,clear sky,-20.2333,164.0167,Gîte kajeon
484,Kalmunai,LK,76.33,overcast clouds,7.4167,81.8167,VS Villa
