City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
135,Salalah,OM,2021-02-02 21:36:32,17.0151,54.0924,75.2,25,0,2.3
136,Yershov,RU,2021-02-02 21:37:40,51.3513,48.2766,33.55,99,100,5.82
137,Mar Del Plata,AR,2021-02-02 21:37:01,-38.0023,-57.5575,68.0,77,75,13.8
138,Avera,US,2021-02-02 21:37:40,33.194,-82.5271,51.8,37,40,18.41
139,Mizdah,LY,2021-02-02 21:37:41,31.4451,12.9801,52.88,55,0,10.02
140,Lata,PT,2021-02-02 21:37:41,40.1629,-8.3327,57.0,93,100,5.01
141,Samarai,PG,2021-02-02 21:37:41,-10.6167,150.6667,81.93,74,98,7.94
142,Kutoarjo,ID,2021-02-02 21:37:42,-7.7169,109.9128,59.0,10,63,3.87
143,Lao Cai,VN,2021-02-02 21:37:42,22.4833,103.95,65.28,81,87,1.01
144,Barrow,US,2021-02-02 21:37:42,71.2906,-156.7887,-23.8,76,1,13.8
145,Riyadh,SA,2021-02-02 21:37:42,24.6877,46.7219,60.8,29,0,5.75
146,Karasjok,NO,2021-02-02 21:37:43,69.4719,25.5112,17.6,86,40,14.97
147,Russellville,US,2021-02-02 21:37:43,35.2784,-93.1338,50.0,46,1,4.61
148,Codrington,AU,2021-02-02 21:37:44,-38.2667,141.9667,61.09,71,75,9.75
149,Olinda,BR,2021-02-02 21:37:44,-8.0089,-34.8553,80.6,65,20,8.05
150,Hobart,AU,2021-02-02 21:37:29,-42.8794,147.3294,59.0,72,75,2.3
151,Upernavik,GL,2021-02-02 21:37:45,72.7868,-56.1549,-6.61,87,100,4.45
152,Berlevag,NO,2021-02-02 21:37:45,70.8578,29.0864,26.6,74,75,28.77
153,Surt,LY,2021-02-02 21:37:45,31.2089,16.5887,61.32,69,1,18.86
154,Carutapera,BR,2021-02-02 21:37:45,-1.195,-46.02,79.41,78,48,7.58
155,Marshall,US,2021-02-02 21:37:46,34.3834,-86.3333,44.01,45,1,16.11
156,Coquimbo,CL,2021-02-02 21:35:06,-29.9533,-71.3436,66.2,68,20,13.8
157,Waipawa,NZ,2021-02-02 21:37:46,-41.4122,175.5153,68.0,68,0,8.05
158,Narsaq,GL,2021-02-02 21:37:47,60.9167,-46.05,23.0,58,90,3.44
159,Ugoofaaru,MV,2021-02-02 21:37:47,5.6667,73.0,82.13,73,60,11.32
160,Akonolinga,CM,2021-02-02 21:37:47,3.7667,12.25,76.89,68,84,5.41
161,Yangambi,CD,2021-02-02 21:37:48,0.8102,24.4336,75.42,64,86,2.17
162,Chokurdakh,RU,2021-02-02 21:37:48,70.6333,147.9167,-9.02,89,70,9.28
163,Kollam,IN,2021-02-02 21:37:48,8.8833,76.6,80.6,83,20,12.1
164,Saldanha,ZA,2021-02-02 21:37:48,-33.0117,17.9442,66.2,77,0,11.5
