City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
185,Yulara,-25.2406,130.9889,71.6,28,37,8.05,AU,scattered clouds
186,Cockburn Town,21.4612,-71.1419,76.59,80,4,19.33,TC,clear sky
187,Fortuna,40.5982,-124.1573,42.01,100,90,3.94,US,overcast clouds
188,Kingsport,36.5484,-82.5618,42.8,70,40,11.5,US,scattered clouds
189,Dingle,10.9995,122.6711,75.85,89,97,7.29,PH,overcast clouds
190,Marsh Harbour,26.5412,-77.0636,71.82,60,10,16.02,BS,clear sky
191,Villa Carlos Paz,-31.4241,-64.4978,84.0,57,0,8.99,AR,clear sky
192,Torbay,47.6666,-52.7314,43.0,93,75,19.57,CA,broken clouds
193,Leningradskiy,69.3833,178.4167,-13.22,87,100,9.22,RU,overcast clouds
194,Superior,46.7208,-92.1041,5.0,60,90,21.85,US,overcast clouds
195,Vestmannaeyjar,63.4427,-20.2734,37.4,81,20,25.32,IS,few clouds
196,Lebu,-37.6167,-73.65,64.53,72,50,13.0,CL,scattered clouds
197,Avera,33.194,-82.5271,55.4,86,90,6.91,US,overcast clouds
198,Saint-Philippe,-21.3585,55.7679,82.4,69,40,10.36,RE,scattered clouds
199,Kismayo,-0.3582,42.5454,77.45,81,0,15.93,SO,clear sky
200,Natchez,31.5604,-91.4032,48.2,49,75,9.22,US,broken clouds
201,Hasaki,35.7333,140.8333,39.2,87,75,1.14,JP,broken clouds
202,Norman Wells,65.282,-126.8329,-27.4,68,75,17.27,CA,snow
203,Alta Floresta,-9.8756,-56.0861,77.0,100,75,6.91,BR,broken clouds
204,Camacha,33.0833,-16.3333,60.8,63,40,20.71,PT,scattered clouds
205,Fort Nelson,58.8053,-122.7002,-13.0,70,90,8.05,CA,light snow
206,Pisco,-13.7,-76.2167,73.99,83,0,10.36,PE,clear sky
207,Durban,-29.8579,31.0292,80.01,83,75,4.61,ZA,broken clouds
208,Adrar,20.5022,-10.0711,79.63,21,46,10.94,MR,scattered clouds
209,Ust-Kuyga,70.0167,135.6,-33.2,82,100,4.16,RU,overcast clouds
210,Raga,8.4596,25.678,86.07,15,18,6.78,SS,few clouds
211,Epanomi,40.4264,22.9286,59.0,82,40,2.3,GR,scattered clouds
212,Nanyuki,0.0167,37.0728,65.03,54,46,9.48,KE,scattered clouds
213,Omboue,-1.5746,9.2618,82.15,81,100,10.54,GA,light rain
214,Ondangwa,-17.9167,15.95,96.8,23,40,4.61,NA,scattered clouds
215,Kaeo,-35.1,173.7833,59.0,93,100,3.4,NZ,overcast clouds
216,Faya,18.3851,42.4509,60.8,58,0,11.5,SA,clear sky
217,Popondetta,-8.7537,148.2534,74.64,94,93,0.85,PG,light rain
218,Maningrida,-12.0667,134.2667,75.47,94,100,12.95,AU,light rain
219,Pacific Grove,36.6177,-121.9166,46.0,70,1,4.61,US,clear sky
220,Camana,-16.6228,-72.7111,74.86,66,41,8.03,PE,scattered clouds
221,Gazojak,41.1875,61.4036,53.38,43,100,8.61,TM,overcast clouds
222,Obo,5.3998,26.4869,89.73,18,9,5.39,CF,clear sky
223,Penalva,-3.2942,-45.1736,90.99,50,45,6.67,BR,scattered clouds
224,Diapaga,12.0708,1.7889,99.21,9,0,8.7,BF,clear sky
225,Weinan,34.5036,109.5089,46.0,59,0,4.36,CN,clear sky
226,Borna,51.1167,12.5,41.0,93,75,2.3,DE,light rain
227,Airai,-8.9266,125.4092,61.7,100,100,2.84,TL,moderate rain
228,Atar,20.5169,-13.0499,74.77,25,100,11.65,MR,overcast clouds
229,Bandarbeyla,9.4942,50.8122,74.84,68,16,12.66,SO,few clouds
230,Yueyang,29.3333,113.0919,44.31,93,23,3.2,CN,few clouds
231,Toktogul,41.8708,72.9402,33.42,67,100,2.35,KG,overcast clouds
